대출_고유키,금융회사코드,금융회사명,금융상품코드,금융상품명,기준일자,심의필일자,적재일자
대출_52,007,수협,L00017,Sh전세보증대출(주택금융공사),20240104,,20240104
대출_53,007,수협,L00059,U보금자리론(한국주택금융공사),20240104,,20240104
대출_54,007,수협,L00114,Sh군인생활안정자금대출,,,20240104
대출_55,007,수협,L00082,Sh실버리치연금대출,,,20240104
대출_56,007,수협,L00020,Sh평생주거래마이너스대출,,,20240104
대출_57,007,수협,L00076,Sh올라잇신용대출,,,20240104
대출_58,007,수협,L00034,바다사랑대출,,,20240104
대출_59,007,수협,L00070,파랑새보육교사대출,,,20240104
대출_60,007,수협,L00068,파랑새CEO대출,,,20240104
대출_61,007,수협,L00073,2030종합통장대출,20240104,,20240104
대출_62,007,수협,L00039,사랑海직장인우대대출,,,20240104
대출_63,007,수협,L00001,A-클래스론(전문직신용대출),,,20240104
대출_64,007,수협,L00105,목회자대출,,,20240104
대출_65,007,수협,L00125,Sh희망플러스 이차보전 신용대출,20240104,,20240104
대출_66,007,수협,L00117,Sh소호대출,20240104,,20240104
대출_67,007,수협,L00113,Sh산업밸리론,20240104,,20240104
대출_68,007,수협,L00093,Sh사회적경제기업 성공지원대출,20240104,,20240104
대출_69,007,수협,L00086,Sh안전협약주택보증대출,20240104,,20240104
대출_70,007,수협,L00062,집단주택자금대출(개인),,,20240104
대출_71,007,수협,L00007,New땡큐사장님대출,20240104,,20240104
대출_72,007,수협,L00012,Sh창업기업지원보증서대출,20240104,,20240104
대출_73,007,수협,L00011,Sh신용보증서Plus대출,20240104,,20240104
대출_74,007,수협,L00005,My편의점대출,20240104,,20240104
대출_75,007,수협,L00033,매일매일신바람대출,20240104,,20240104
대출_76,007,수협,L00031,동산담보대출,20240104,,20240104
대출_77,007,수협,L00097,매입조건부 주택건축자금대출,20240104,,20240104
대출_78,007,수협,L00056,임대비즈니스론,20240104,,20240104
대출_79,007,수협,L00077,더해드림론,20240104,,20240104
대출_80,007,수협,L00026,냉동수산물담보대출,20240104,,20240104
대출_81,007,수협,L00021,고시원사업자대출,20240104,,20240104
대출_82,007,수협,L00063,카마스터즈론,20240104,,20240104
대출_83,007,수협,L00096,기업운전자금대출,20240104,,20240104
대출_84,007,수협,L00095,기업시설자금대출,20240104,,20240104
대출_85,007,수협,L00109,부동산경락대금대출(기업),20240104,,20240104
대출_86,007,수협,L00122,햇살론15,20240104,,20240104
대출_87,007,수협,L00081,Sh새희망홀씨Ⅱ(해양수산인),,,20240104
대출_88,007,수협,L00014,Sh사잇돌중금리대출,,,20240104
대출_89,007,수협,L00018,Sh징검다리론,,,20240104
대출_90,007,수협,L00015,Sh새희망홀씨Ⅱ,,,20240104
대출_91,007,수협,L00028,대학생·청년햇살론,20240104,,20240104
대출_92,007,수협,L00094,Sh프라임 주택건설보증대출,20240104,,20240104
대출_93,007,수협,L00080,예적금담보대출(기업),20240104,,20240104
대출_94,007,수협,L00010,Sh기술평가우수기업대출,20240104,,20240104
대출_95,007,수협,L00004,Hi-버스사업자대출,20240104,,20240104
대출_96,007,수협,L00099,온렌딩(on-lending)대출,,,20240104
대출_97,007,수협,L00045,알찬기업알찬대출,20240104,,20240104
대출_98,007,수협,L00098,상업어음할인,20240104,,20240104
대출_99,007,수협,L00092,B2B기업구매자금대출,20240104,,20240104
대출_100,007,수협,L00110,집단주택자금대출(기업),20240104,,20240104
대출_101,007,수협,L00038,사랑海꿈나무대출,20240104,,20240104
대출_102,007,수협,L00069,파랑새둥지대출,20240104,,20240104
대출_103,007,수협,L00128,Sh소상공인 저금리 대환대출,20230323,,20240104
대출_104,007,수협,L00120,헤이(Hey)플러스대출,20240104,,20240104
대출_105,007,수협,L00087,헤이(Hey)전세자금대출,20240104,,20240104
대출_106,034,광주은행,LON20210716001,ESG SUPPORT LOAN,,준법감시인 심의필 제 2023-4371호 (2023.12.21.),20240104
대출_107,034,광주은행,LON20200121001,KJB SOLAR-LOAN,,준법감시인 심의필 제 2023-4368호 (2023.12.21.),20240104
대출_108,034,광주은행,LON20230518001,KJB Trust-On 보증서대출,,준법감시인 심의필 제 2023-1491호 (2023.05.09.),20240104
대출_109,034,광주은행,LON20221219001,KJB모바일 아파트대출,,준법감시인 심의필 제2023-3418호 (2023.10.17),20240104
대출_110,034,광주은행,LON20230718002,KJB모바일 전세대출(서울보증보험),,준법감시인 심의필 제 2023-3731호 (2023.11.16.),20240104
대출_111,034,광주은행,LON20230718001,KJB모바일 전세대출(한국주택금융공사),,준법감시인 심의필 제 2023-3730호 (2023.11.16.),20240104
대출_112,034,광주은행,LON20160901001,KJB사잇돌중금리대출,,준법감시인 심의필 제2023-2665호 (2023.07.26.),20240104
대출_113,034,광주은행,LON20160118001,KJB에너지밸리론,,준법감시인 심의필 제 2023-4366호 (2023.12.21.),20240104
대출_114,034,광주은행,LON20200102001,KJB집단전세자금대출,,준법감시인 심의필 제2023-4345호 (2023.12.21.),20240104
대출_115,034,광주은행,LON20151203001,KJB징검다리론,,준법감시인 심의필 제2023-2662호 (2023.07.26.),20240104
대출_116,034,광주은행,LON20120618001,KJB징검다리전세자금대출,,준법감시인 심의필 제2023-2668호 (2023.07.26.),20240104
대출_117,034,광주은행,LON20210624001,KJB햇살론15,,준법감시인 심의필 제2023-2663호 (2023.07.26.),20240104
대출_118,034,광주은행,LON20210812001,KJB햇살론뱅크,,준법감시인 심의필 제2023-2664호 (2023.07.26.),20240104
대출_119,034,광주은행,LON20210120001,Prime플러스론,,준법감시인 심의필 제2023-4022호 (2023.12.07.),20240104
대출_120,034,광주은행,LON20181210002,가계일반자금대출,,준법감시인 심의필 제2022-1928호 (2022.06.08.),20240104
대출_121,034,광주은행,LON20101028003,공무원가계자금(융자추천서)대출,,준법감시인 심의필 제2023-3734호 (2023.11.16.),20240104
대출_122,034,광주은행,LON20101201001,공무원연금수급권자대출,,준법감시인 심의필 제2023-2660호 (2023.07.26.),20240104
